ner_tuple
"(0, 14, 'c. 1877–c. 1950', 'date.1877+c-1950+c')"
"(17, 49, 'Jim Crow era in the United States', 'bk.tle:jimcroweraunitedstates')"
"(0, 3, '1900', 'date.1900')"
"(6, 62, 'National Baptist Convention is held in Richmond, Virginia', 'bk.tle:nationalbaptistconventionisheldrichmond')"
"(0, 3, '1905', 'date.1905')"
"(6, 21, 'Niagara Movement', 'bk.tle:niagaramovement')"
"(0, 3, '1906', 'date.1906')"
"(6, 25, 'Azusa Street Revival', 'bk.tle%3aazusastreetrevival')"
"(0, 8, '1916–1970', 'date.1916-1970')"
"(11, 87, 'Black Americans move out of the southern United States in the Great Migration', 'bk.tle:blackamericansmoveoutsouthernusgreatmigration')"
"(0, 8, '1954–1968', 'date.1954-1968')"
"(11, 31, 'Civil Rights Movement', 'bk.tle%3acivilrightsmovement')"
"(0, 3, '1968', 'date.1968')"
"(6, 43, 'Martin Luther King Jr. is assassinated', 'bk.tle:martinlutherkingjrisassassinated')"
"(0, 3, '1969', 'date.1969')"
"(6, 65, 'Black Theology and Black Power by James H. Cone is published', 'bk.tle%3ablacktheologyblackpowerjamesh')"
"(0, 16, 'Morehouse College', 'bk.%MorehouseCollege_Place')"
"(73, 88, 'Atlanta, Georgia', 'bk.@AtlantaGeorgia')"
"(0, 26, 'Philadelphia, Pennsylvania,', 'bk.%40PhiladelphiaPennsylvania')"
"(0, 16, 'Savanna, Georgia,', 'bk.%25Savannah_Place')"
"(0, 18, 'Wilberforce College', 'bk.%WilberforceCollege_Place')"
"(64, 67, 'Ohio', 'bk.@Ohio')"
"(0, 33, 'African Methodist Episcopal Church', 'bk.%25AfricanMethodistEpiscopalChurch_Denom')"
"(101, 118, 'Methodist churches', 'bk.%25MethodistChurches')"
"(0, 13, 'Black churches', 'bk.%25BlackChurches')"
"(68, 86, 'seventeenth century', 'date.1601+100')"
"(0, 22, 'Church of God in Christ', 'bk.%25ChurchOfGodInChrist_Denom')"
"(120, 134, 'Charles H Mason', 'bk.%25CharlesHMason_Person')"
"(139, 142, '1897', 'date.1897')"
"(0, 42, '“How the Sisters Are Hindered from Helping”', 'bk.%HowTheSistersAreHindered_Writing')"
"(69, 86, 'September 13, 1900', 'date.1900.9.13')"
"(0, 69, 'The Life, Experience, and Gospel Labours of the Rt. Rev. Richard Allen', 'bk.%LifeOfRichardAllen_Writing')"
"(87, 90, '1833', 'date.1833')"
"(0, 25, 'Jesus and the Disinherited', 'bk.%JesusAndTheDisinherited_Writing')"
"(44, 47, '1949', 'date.1949')"
"(124, 134, 'nonviolence', 'bk.%25peace')"
"(180, 183, 'fear', 'bk.%25fear')"
"(186, 194, 'deception', 'bk.%25deceit')"
"(201, 204, 'hate', 'bk.%25hate')"
"(0, 29, 'Black Theology and Black Power', 'bk.%BlackTheologyAndBlackPower_Writing')"
"(48, 51, '1969', 'date.1969')"
"(0, 42, '“How the Sisters Are Hindered from Helping”', 'bk.%HowTheSistersAreHindered_Writing')"
"(69, 86, 'September 13, 1900', 'date.1900.9.13')"
"(0, 76, '""Christianity Among the Slaves"" in Church History in Plain Language (Shelley)', 'https://ref.ly/res/LLS:CHRCHHSTPLN5THD/2021-07-09T21:16:17Z/960092?len=10448')"
"(0, 98, '""Slavery and Civil War"" in The Story of Christianity: The Reformation to the Present Day (González)', 'https://ref.ly/res/LLS:WS_0_9016/2021-03-16T19:53:57Z/646769?len=7490')"
